Fach,Frage,Richtige Antwort,Richtige Antwort 2,Richtige Antwort 3,Richtige Antwort 4,Falsche Antwort 1,Falsche Antwort 2,Falsche Antwort 3
Finanzrecht,Was regelt grundsätzlich die Finanzverfassung bzw. der Finanzausgleich?,"Die grundlegenden Regeln für die finanziellen Beziehungen zwischen Bund, Ländern und Gemeinden werden im F-VG 1948 geregelt.",Das Finanzausgleichsgesetz konkretisiert die Aufteilung der Abgaben zw. den Gebietskörperschaften und die Zuständigkeiten.,,,Die Steuererklärungspflicht von Unternehmen.,Die Ausgestaltung des Bundespräsidentenamts.,Die Organisation des Bildungswesens.
Finanzrecht,Was ist das Mischsystem?,Die Gebietskörperschaften erhalten sowohl eigene Einnahmen als auch Mittel vom Zentralstaat.,,,,Nur Gemeinden dürfen Steuern einheben.,Alle Einnahmen gehen an die EU.,Es gibt keine finanzielle Zusammenarbeit.
Finanzrecht,Was ist das Verbundsystem?,Die Finanzierung erfolgt ausschließlich aus gemeinschaftlichen Steuern des Zentralstaates.,,,,Alle Steuern werden vom Bund einbehalten.,Es gibt nur eine Steuerart.,Die Länder finanzieren sich nur durch Spenden.
Finanzrecht,Was ist das Trennsystem?,"Die einzelnen Gebietskörperschaften (Bund, Länder, Gemeinden) als öffentliche Auftgabenträger finanzieren sich voneinander unabhängig.",,,,Alle Gebietskörperschaften teilen sich Einnahmen.,Die Finanzierung erfolgt ausschließlich über Kredite.,Steuereinnahmen werden zentral verteilt.
Finanzrecht,Was ist das Mischsystem?,Die einzelnen Gebietskörperschaften erhalten sowohl eigene Einnahmen als auch Mittel des Übergeordneten Instanzen (Z.B. Österreich),,,,Nur Gemeinden dürfen Steuern einheben.,Alle Einnahmen gehen an die EU.,Es gibt keine finanzielle Zusammenarbeit.
Finanzrecht,Welches System der Abgabenteilung kommt in Österreich zur Anwendung?,Das Mischsystem,,,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was ist die Finanzverfassung?,Das Finanzverfassungsgesetz wurde im Jahr 1948 in Kraft gesetzt und gilt dauerhaft / unbefristet / für unbestimmte Zeit.,Dieses Finanzverfassungsgesetz regelt die Zuständigkeiten des Bundes und der Länder auf dem Gebiet des Abgabenwesens.,"Es legt abstrakt die einzelnen Abgabentypen fest (ausschließliche Bundes- bzw. Landes- bzw. Gemeindeabgaben, gemeinschaftliche Abgaben, Zuschlagsabgaben etc.)",,Die Steuererklärungspflicht von Unternehmen.,Die Ausgestaltung des Bundespräsidentenamts.,Die Organisation des Bildungswesens.
Finanzrecht,Was ist der Finanzausgleich?,"Finanzausgleich = ein befristetes, einfaches Bundesgesetz","Der Finanzausgleich regelt konkret für eine jeweils bestimmte Zeitspanne die finanziellen Beziehungen zwischen Bund, Länder und Gemeinden (Gebietskörperschaften), nämlich die konkrete Verteilung der Abgaben und Steuererträge",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
Finanzrecht,Was sind die Grundsätze der Finanzverfassung und was bedeutet sie?,Grundsatz der eigenen Kostentragung; die Kompetenz-Kompetenz; das Legalitätsprinzip; das Sachlichkeitsgebot: Grundsatz der Finanzausgleichsgerechtigkeit,,,,Die Steuererklärungspflicht von Unternehmen.,Die Ausgestaltung des Bundespräsidentenamts.,Die Organisation des Bildungswesens.
Finanzrecht,Der Grundsatz der eigenen Kostentragung bedeutet …,Die Pflicht der Kostentragung trifft die Gebietskörperschaft welche mit des Vollziehung betraut wurde.,"Der Bund und die überigen Gebietskörperschaften tragen den Aufwand, der sich aus der Besorgung ihrer Aufgaben ergibt selbst.",,,Diese Antwort ist falsch (1).,Diese Antwort ist falsch (2).,Diese Antwort ist falsch (3).
